Original,Human-readable,topic_2_environmental_regulation,topic_4_customer_orientation,topic_6_shareholder_affiliation,topic_8_hiring_employees,topic_9_natural_disaster,topic_11_litigation,topic_12_carbon_emissions,topic_13_labor_issues,topic_14_supply_chain_problems,topic_15_taxes,is_overlap
tax_ethnicity_soviets,soviets,,,,,,,,,,,
tax_ethnicity_spanish,spanish,,,,,,,,,,,
tax_ethnicity_sudanese,sudanese,,,,,,,,,,,
tax_ethnicity_sufi,sufi,,,,,,,,,,,
tax_ethnicity_sunni,sunni,,,,,,,,,,,
tax_ethnicity_sunnis,sunni s,,,,,,,,,,,
tax_ethnicity_swede,swede,,,,,,,,,,,
tax_ethnicity_swedes,swedes,,,,,,,,,,,
tax_ethnicity_taiwanese,taiwanese,,,,,,,,,,,
tax_ethnicity_tajik,tajik,,,,,,,,,,,
tax_ethnicity_tamil,tamil,,,,,,,,,,,
tax_ethnicity_tatar,tatar,,,,,,,,,,,
tax_ethnicity_tatars,tatars,,,,,,,,,,,
tax_ethnicity_telugu,telugu,,,,,,,,,,,
tax_ethnicity_teutonic,teutonic,,,,,,,,,,,
tax_ethnicity_thai,thai,,,,,,,,,,,
tax_ethnicity_thais,thais,,,,,,,,,,,
tax_ethnicity_tibetan,tibetan,,,,,,,,,,,
tax_ethnicity_turkish,turkish,,,,,,,,,,,
tax_ethnicity_turkmen,turkmen,,,,,,,,,,,
tax_ethnicity_ukrainian,ukrainian,,,,,,,,,,,
tax_ethnicity_ukrainians,ukrainians,,,,,,,,,,,
tax_ethnicity_urdu,urdu,,,,,,,,,,,
tax_ethnicity_uzbek,uzbek,,,,,,,,,,,
tax_ethnicity_venezuelan,venezuelan,,,,,,,,,,,
tax_ethnicity_venezuelans,venezuelans,,,,,,,,,,,
tax_ethnicity_vietnamese,vietnamese,,,,,,,,,,,
tax_ethnicity_walloon,walloon,,,,,,,,,,,
tax_ethnicity_welsh,welsh,,,,,,,,,,,
tax_ethnicity_white,white,,,,,,,,,,,
tax_ethnicity_yugoslav,yugoslav,,,,,,,,,,,
tax_ethnicity_zhuang,z huang,,,,,,,,,,,
tax_ethnicity_zimbabwean,zimbabwe an,,,,,,,,,,,
tax_ethnicity_zimbabweans,zimbabwe ans,,,,,,,,,,,
tax_fncact,fnc act,,,,,,,,,,,
tax_fncact_accountant,accountant,,,,,,,,,,,
tax_fncact_accountants,accountants,,,,,,,,,,,
tax_fncact_activist,activist,,,,,,,,1,,,
tax_fncact_activists,activists,,,,,,,,1,,,
tax_fncact_actor,actor,,,,,,,,,,,
tax_fncact_actress,actress,,,,,,,,,,,
tax_fncact_actresses,actresses,,,,,,,,,,,
tax_fncact_administrator,administrator,,,1,,,,,,,,
tax_fncact_administrators,administrators,,,1,,,,,,,,
tax_fncact_admiral,admiral,,,,,,,,,,,
tax_fncact_advertiser,advertiser,,,,,,,,,,,
tax_fncact_advertisers,advertisers,,,,,,,,,,,
tax_fncact_adviser,adviser,,,,,,,,,,,
tax_fncact_advisers,advisers,,,,,,,,,,,
tax_fncact_agent,agent,,,,1,,,,,,,
tax_fncact_agents,agents,,,,1,,,,,,,
tax_fncact_aggressor,aggressor,,,,,,,,,,,
tax_fncact_aggressors,aggressors,,,,,,,,,,,
tax_fncact_agronomist,agronomist,,,,,,,,,,,
tax_fncact_aid_workers,aid workers,,,,,,,,,,,
tax_fncact_aide,aide,,,,,,,,,,,
tax_fncact_aides,aides,,,,,,,,,,,
tax_fncact_airman,airman,,,,,,,,,,,
tax_fncact_airmen,airmen,,,,,,,,,,,
tax_fncact_ambassador,ambassador,,,,,,,,,,,
tax_fncact_ambassadors,ambassadors,,,,,,,,,,,
tax_fncact_analyst,analyst,,,,1,,,,,,,
tax_fncact_analysts,analysts,,,,1,,,,,,,
tax_fncact_anglers,anglers,,,,,,,,,,,
tax_fncact_animator,animator,,,,,,,,,,,
tax_fncact_announcer,announcer,,,,,,,,,,,
tax_fncact_anthropologist,anthropologist,,,,,,,,,,,
tax_fncact_appointee,appointee,,,,,,,,,,,
tax_fncact_appointees,appointees,,,,,,,,,,,
tax_fncact_apprentice,apprentice,,,,,,,,,,,
tax_fncact_arbitrator,arbitrator,,,,,,,,,,,
tax_fncact_archaeologist,archaeologist,,,,,,,,,,,
tax_fncact_archbishop,archbishop,,,,,,,,,,,
tax_fncact_archer,archer,,,,,,,,,,,
tax_fncact_architect,architect,,,,,,,,,,,
tax_fncact_architects,architects,,,,,,,,,,,
tax_fncact_army_officer,army officer,,,,,,,,,,,
tax_fncact_art_director,art director,,,,,,,,,,,
tax_fncact_artisan,artisan,,,,,,,,,,,
tax_fncact_artisans,artisans,,,,,,,,,,,
tax_fncact_artist,artist,,,,,,,,,,,
tax_fncact_artists,artists,,,,,,,,,,,
tax_fncact_assemblyman,assemblyman,,,,,,,,,,,
tax_fncact_assemblywoman,assemblywoman,,,,,,,,,,,
tax_fncact_assessor,assessor,,,,,,,,,,,
tax_fncact_assessors,assessors,,,,,,,,,,,
tax_fncact_assistant,assistant,,,,1,,,,,,,
tax_fncact_assistants,assistants,,,,1,,,,,,,
tax_fncact_associate_director,associate director,,,1,1,,,,,,,
tax_fncact_astronaut,astronaut,,,,,,,,,,,
tax_fncact_astronomer,astronomer,,,,,,,,,,,
tax_fncact_astrophysicist,astrophysicist,,,,,,,,,,,
tax_fncact_athlete,athlete,,,,,,,,,,,
tax_fncact_attendant,attendant,,,,,,,,,,,
tax_fncact_attendants,attendants,,,,,,,,,,,
tax_fncact_attorney,attorney,1,,,,,1,,,,,
tax_fncact_attorneys,attorneys,1,,,,,1,,,,,
tax_fncact_auctioneer,auctioneer,,,,,,,,,,,
tax_fncact_auditor,auditor,,,,,,1,,,,,
tax_fncact_author,author,,,,,,,,,,,
tax_fncact_authorities,authorities,,,,,,,,,,,
tax_fncact_aviator,aviator,,,,,,,,,,,
tax_fncact_babies,babies,,,,,,,,,,,
tax_fncact_baby,baby,,,,,,,,,,,
tax_fncact_babysitter,babysitter,,,,,,,,,,,
tax_fncact_bachelor,bachelor,,,,,,,,,,,
tax_fncact_bachelors,bachelors,,,,,,,,,,,
tax_fncact_backbenchers,backbenchers,,,,,,,,,,,
tax_fncact_bailiff,bailiff,,,,,,,,,,,
tax_fncact_bailiffs,bailiffs,,,,,,,,,,,
tax_fncact_bandit,bandit,,,,,,,,,,,
tax_fncact_banker,banker,,,,,,,,,,,
tax_fncact_barber,barber,,,,,,,,,,,
tax_fncact_bard,bard,,,,,,,,,,,
tax_fncact_baroness,baroness,,,,,,,,,,,
tax_fncact_barrister,barrister,,,,,,,,,,,
tax_fncact_bartender,bartender,,,,,,,,,,,
tax_fncact_bartenders,bartenders,,,,,,,,,,,
tax_fncact_beauty_queen,beauty queen,,,,,,,,,,,
tax_fncact_beggar,beggar,,,,,,,,,,,
tax_fncact_best_man,best man,,,,,,,,,,,
tax_fncact_biologist,biologist,,,,,,,,,,,
tax_fncact_bishop,bishop,,,,,,,,,,,
tax_fncact_bishops,bishops,,,,,,,,,,,
tax_fncact_blacksmith,blacksmith,,,,,,,,,,,
tax_fncact_blacksmiths,blacksmiths,,,,,,,,,,,
tax_fncact_board_member,board member,,,,,,,,,,,
tax_fncact_board_members,board members,,,,,,,,,,,
tax_fncact_bodyguard,bodyguard,,,,,,,,,,,
tax_fncact_bookseller,bookseller,,,,,,,,,,,
tax_fncact_boss,boss,,,,,,,,,,,
tax_fncact_bosses,bosses,,,,,,,,,,,
tax_fncact_bowler,bowler,,,,,,,,,,,
tax_fncact_boxer,boxer,,,,,,,,,,,
tax_fncact_boxers,boxers,,,,,,,,,,,
tax_fncact_branch_manager,branch manager,,,,,,,,,,,
tax_fncact_breadwinner,breadwinner,,,,,,,,,,,
tax_fncact_breeder,breeder,,,,,,,,,,,
tax_fncact_bride,bride,,,,,,,,,,,
tax_fncact_bridesmaids,bridesmaids,,,,,,,,,,,
tax_fncact_brigadier,brigadier,,,,,,,,,,,
tax_fncact_brigadier_general,brigadier general,,,,,,,,,,,
tax_fncact_broker,broker,,,,,,,,,,,
tax_fncact_builder,builder,,,,,,,,,,,
tax_fncact_bureaucrat,bureaucrat,,,,,,,,,,,
tax_fncact_bureaucrats,bureaucrats,,,,,,,,,,,
tax_fncact_burglar,burglar,,,,,,,,,,,
tax_fncact_burglars,burglars,,,,,,,,,,,
tax_fncact_bus_driver,bus driver,,,,,,,,,,,
tax_fncact_business_executives,business executives,,,1,1,,,,,,,
tax_fncact_business_leader,business leader,,,1,1,,,,,,,
tax_fncact_business_leaders,business leaders,,,1,1,,,,,,,
tax_fncact_businessman,businessman,,,,,,,,,,,
tax_fncact_businessmen,businessmen,,,,,,,,,,,
tax_fncact_butcher,butcher,,,,,,,,,,,
tax_fncact_butchers,butchers,,,,,,,,,,,
tax_fncact_butler,butler,,,,,,,,,,,
tax_fncact_buyer,buyer,,,,,,,,,,,
tax_fncact_cabinet_minister,cabinet minister,,,,,,,,,,,
tax_fncact_cabinet_ministers,cabinet ministers,,,,,,,,,,,
tax_fncact_cameraman,cameraman,,,,,,,,,,,
tax_fncact_campaigner,campaigner,,,,,,,,,,,
tax_fncact_campaigners,campaigners,,,,,,,,,,,
tax_fncact_candidate,candidate,,,,1,,,,,,,
tax_fncact_candidates,candidates,,,,1,,,,,,,
tax_fncact_captain,captain,,,,,,,,,,,
tax_fncact_captains,captains,,,,,,,,,,,
tax_fncact_cardinal,cardinal,,,,,,,,,,,
tax_fncact_cardinals,cardinals,,,,,,,,,,,
tax_fncact_cardiologist,cardiologist,,,,,,,,,,,
tax_fncact_caregiver,care giver,,,,,,,,,,,
tax_fncact_caregivers,care givers,,,,,,,,,,,
tax_fncact_caretaker,caretaker,,,,,,,,,,,
tax_fncact_caretakers,caretakers,,,,,,,,,,,
tax_fncact_carpenter,carpenter,,,,,,,,,,,
tax_fncact_carpenters,carpenters,,,,,,,,,,,
tax_fncact_cartoonist,cartoonist,,,,,,,,,,,
tax_fncact_cashier,cashier,,,,,,,,,,,
tax_fncact_censors,censors,,,,,,,,,,,
tax_fncact_ceo,ceo,,,1,1,,1,,,,,
tax_fncact_cfo,cfo,,,1,1,,1,,,,,
tax_fncact_chairman,chairman,,,1,,,,,,,,
tax_fncact_chairman_of_the_board,chairman board,,,1,,,,,,,,
tax_fncact_chairmans,chairmans,,,1,,,,,,,,
tax_fncact_chairmen,chairmen,,,1,,,,,,,,
tax_fncact_chairperson,chairperson,,,1,,,,,,,,
tax_fncact_chairwoman,chairwoman,,,1,,,,,,,,
tax_fncact_champion,champion,,,,,,,,,,,
tax_fncact_champions,champions,,,,,,,,,,,
tax_fncact_chancellor,chancellor,,,,,,,,,,,
tax_fncact_chancellors,chancellors,,,,,,,,,,,
tax_fncact_chaplain,chaplain,,,,,,,,,,,
tax_fncact_chauffeur,chauffeur,,,,,,,,,,,
tax_fncact_cheerleader,cheerleader,,,,,,,,,,,
tax_fncact_cheerleaders,cheerleaders,,,,,,,,,,,
tax_fncact_chef,chef,,,,,,,,,,,
tax_fncact_chefs,chefs,,,,,,,,,,,
tax_fncact_chemist,chemist,,,,,,,,,,,
tax_fncact_chief,chief,,,1,1,,,,,,,
tax_fncact_chief_constable,chief constable,,,,1,,,,,,,
tax_fncact_chief_engineer,chief engineer,,,,1,,,,,,,
tax_fncact_chief_executive,chief executive,,,1,1,,1,,,,,
tax_fncact_chief_executive_officer,officer,,,1,1,,,,,,,
tax_fncact_chief_executives,chief executives,,,1,1,,1,,,,,
tax_fncact_chief_financial_officer,officer,1,,1,1,,,,,,,
tax_fncact_chief_inspector,chief inspector,1,,,,,1,,,,,
tax_fncact_chief_justice,chief justice,1,,,,,1,,,,,
tax_fncact_chief_of_police,chief police,,,,,,,,,,,
tax_fncact_chief_of_staff,chief staff,,,,1,,,,,,,
tax_fncact_chief_of_state,chief state,,,,,,,,,,,
tax_fncact_chief_operating_officer,officer,1,,1,1,,,,,,,
tax_fncact_chief_security_officer,officer,1,,1,1,,,,,,,
tax_fncact_chief_superintendent,chief superintendent,,,,,,,,,,,
tax_fncact_chiefs,chiefs,,,,1,,,,,,,
tax_fncact_chiefs_of_staff,chiefs staff,,,,1,,,,,,,
tax_fncact_chiefs_of_state,chiefs state,,,,,,,,,,,
tax_fncact_chieftain,chieftain,,,,,,,,,,,
tax_fncact_chieftains,chieftains,,,,,,,,,,,
tax_fncact_child,child,,,,,,,,,,,
tax_fncact_children,children,,,,,,,,,,,
tax_fncact_choreographer,choreographer,,,,,,,,,,,
tax_fncact_cinematographer,cinematographer,,,,,,,,,,,
tax_fncact_cio,cio,,,,1,,,,,,,
tax_fncact_circuit_judge,circuit judge,,,,,,,,,,,
tax_fncact_citizen,citizen,,,,,,,,,,,
tax_fncact_citizens,citizens,,,,,,,,,,,
tax_fncact_city_manager,city manager,,,,,,,,,,,
tax_fncact_civil_servant,civil servant,,,,,,,,,,,
tax_fncact_civil_servants,civil servants,,,,,,,,,,,
tax_fncact_clergy,clergy,,,,,,,,,,,
tax_fncact_cleric,cleric,,,,,,,,,,,
tax_fncact_clerics,clerics,,,,,,,,,,,
tax_fncact_clerk,clerk,,,,,,,,,,,
tax_fncact_clerks,clerks,,,,,,,,,,,
tax_fncact_clown,clown,,,,,,,,,,,
tax_fncact_clowns,clowns,,,,,,,,,,,
tax_fncact_cmo,cm o,,,,,,,,,,,
tax_fncact_coaches,coaches,,,,,,,,,,,
tax_fncact_cobbler,cobbler,,,,,,,,,,,
tax_fncact_colonel,colonel,,,,,,,,,,,
tax_fncact_columnist,columnist,,,,,,,,,,,
tax_fncact_columnists,columnists,,,,,,,,,,,
tax_fncact_comedian,comedian,,,,,,,,,,,
tax_fncact_commandant,commandant,,,,,,,,,,,
tax_fncact_commander,commander,,,,,,,,,,,
tax_fncact_commander_in_chief,commander chief,,,,,,,,,,,
tax_fncact_commanders,commanders,,,,,,,,,,,
tax_fncact_commanding_officer,commanding officer,,,,,,,,,,,
tax_fncact_commando,commando,,,,,,,,,,,
tax_fncact_commandos,commandos,,,,,,,,,,,
tax_fncact_commissar,commissar,,,,,,,,,,,
tax_fncact_commissioner,commissioner,,,,,,,,,,,
tax_fncact_commissioners,commissioners,,,,,,,,,,,
tax_fncact_commodore,commodore,,,,,,,,,,,
tax_fncact_communications_officer,communications officer,,,,,,,,,,,
tax_fncact_communist,communist,,,,,,,,,,,
tax_fncact_communists,communists,,,,,,,,,,,
tax_fncact_companion,companion,,,,,,,,,,,
tax_fncact_companions,companions,,,,,,,,,,,
tax_fncact_composer,composer,,,,,,,,,,,
tax_fncact_comptroller,comptroller,,,,,,,,,,,
tax_fncact_concierge,concierge,,,,,,,,,,,
tax_fncact_conductor,conductor,,,,,,,,,,,
tax_fncact_congressman,congressman,1,,,,,,,,,,
tax_fncact_congressmen,congressmen,1,,,,,,,,,,
tax_fncact_congresswoman,congresswoman,1,,,,,,,,,,
tax_fncact_conservationist,conservationist,,,,,,,,,,,
tax_fncact_constable,constable,,,,,,,,,,,
tax_fncact_constables,constables,,,,,,,,,,,
tax_fncact_construction_worker,construction worker,,,,,,,,1,,,
tax_fncact_consul,consul,,,,,,,,,,,
tax_fncact_consultant,consultant,,,,1,,,,,,,
tax_fncact_consultants,consultants,,,,1,,,,,,,
tax_fncact_contractor,contractor,,,,1,,,,,,,
tax_fncact_convener,convener,,,,,,,,,,,
tax_fncact_cook,cook,,,,,,,,,,,
tax_fncact_cooks,cooks,,,,,,,,,,,
tax_fncact_coordinator,coordinator,,,,,,,,,,,
tax_fncact_coordinators,coordinators,,,,,,,,,,,
tax_fncact_copilot,copilot,,,,,,,,,,,
tax_fncact_coroner,coroner,,,,,,,,,,,
tax_fncact_corporal,corporal,,,,,,,,,,,
tax_fncact_correspondent,correspondent,,,,,,,,,,,
tax_fncact_correspondents,correspondents,,,,,,,,,,,
tax_fncact_councilman,councilman,,,,,,,,,,,
tax_fncact_councilwoman,councilwoman,,,,,,,,,,,
tax_fncact_counsellor,counsellor,,,,,,,,,,,
tax_fncact_counselor,counselor,,,,,,,,,,,
tax_fncact_counselors,counselors,,,,,,,,,,,
tax_fncact_countess,countess,,,,,,,,,,,
tax_fncact_coup_plotters,coup plotters,,,,,,,,,,,
tax_fncact_courier,courier,,,,,,,,,,,
tax_fncact_cowboy,cowboy,,,,,,,,,,,
tax_fncact_cowboys,cowboys,,,,,,,,,,,
tax_fncact_craftsman,craftsman,,,,,,,,,,,
tax_fncact_craftsmen,craftsmen,,,,,,,,,,,
tax_fncact_creative_director,creative director,,,,,,,,,,,
tax_fncact_crew_member,crew member,,,,,,,,,,,
tax_fncact_crew_members,crew members,,,,,,,,,,,
tax_fncact_crewmen,crewmen,,,,,,,,,,,
tax_fncact_criminal,criminal,,,,,,,,,,,
tax_fncact_criminals,criminals,,,,,,,,,,,
tax_fncact_critic,critic,,,,,,,,,,,
tax_fncact_crown_prince,crown prince,,,,,,,,,,,
tax_fncact_crusader,crusader,,,,,,,,,,,
tax_fncact_crusaders,crusaders,,,,,,,,,,,
tax_fncact_cto,cto,,,,1,,,,,,,
tax_fncact_culprit,culprit,,,,,,,,,,,
tax_fncact_culprits,culprits,,,,,,,,,,,
tax_fncact_curator,curator,,,,,,,,,,,
tax_fncact_custodian,custodian,,,,,,,,,,,
tax_fncact_dancer,dancer,,,,,,,,,,,
tax_fncact_deacon,deacon,,,,,,,,,,,
tax_fncact_dealer,dealer,,,,,,,,,,,
tax_fncact_decision_makers,decisionmake rs,,,,,,,,,,,
tax_fncact_defectors,defectors,,,,,,,,,,,
tax_fncact_delegate,delegate,,,,,,,,,,,
tax_fncact_demonstrator,demonstrator,,,,,,,,,,,
tax_fncact_demonstrators,demonstrators,,,,,,,,,,,
tax_fncact_dentist,dentist,,,,,,,,,,,
tax_fncact_department_head,department head,,,1,1,,,,,,,
tax_fncact_department_heads,department heads,,,1,1,,,,,,,
tax_fncact_deputy,deputy,,,,,,,,,,,
tax_fncact_dermatologist,dermatologist,,,,,,,,,,,
tax_fncact_designer,designer,,,,,,,,,,,
tax_fncact_detective,detective,,,,,,,,,,,
tax_fncact_detectives,detectives,,,,,,,,,,,
tax_fncact_developer,developer,,,,,,,,,,,
tax_fncact_dictator,dictator,,,,,,,,,,,
tax_fncact_dietitian,dietitian,,,,,,,,,,,
tax_fncact_diocesan,diocesan,,,,,,,,,,,
tax_fncact_diplomat,diplomat,,,,,,,,,,,
tax_fncact_diplomats,diplomats,,,,,,,,,,,
tax_fncact_director,director,,,1,,,,,,,,
tax_fncact_director_of_research,director research,,,,,,,,,,,
tax_fncact_directors,directors,,,1,,,,,,,,
tax_fncact_dispatcher,dispatcher,,,,,,,,,,,
tax_fncact_dispatchers,dispatchers,,,,,,,,,,,
tax_fncact_distributor,distributor,,,,,,,,,,,
tax_fncact_district_attorney,district attorney,,,,,,,,,,,
tax_fncact_diver,diver,,,,,,,,,,,
tax_fncact_doctor,doctor,,,,,,,,,,,
tax_fncact_doctors,doctors,,,,,,,,,,,
tax_fncact_driver,driver,,,,,,,,,,,
tax_fncact_drivers,drivers,,,,,,,,,,,
tax_fncact_drummer,drummer,,,,,,,,,,,
tax_fncact_duchess,duchess,,,,,,,,,,,
tax_fncact_ecologist,ecologist,,,,,,,,,,,
tax_fncact_economist,economist,,,,,,,,,,,
tax_fncact_economists,economists,,,,,,,,,,,
tax_fncact_editor,editor,,,,,,,,,,,
tax_fncact_editors,editors,,,,,,,,,,,
tax_fncact_educator,educator,,,,,,,,,,,
tax_fncact_educators,educators,,,,,,,,,,,
tax_fncact_elder,elder,,,,,,,,,,,
tax_fncact_elders,elders,,,,,,,,,,,
tax_fncact_elected_official,elected official,,,1,,,,,,,,
tax_fncact_elected_officials,elected officials,,,1,,,,,,,,
tax_fncact_electrician,electrician,,,,,,,,,,,
tax_fncact_electricians,electricians,,,,,,,,,,,
tax_fncact_emperor,emperor,,,,,,,,,,,
tax_fncact_employee,employee,,,,1,,,,1,,,
tax_fncact_employees,employees,,,,1,,,,1,,,
tax_fncact_employer,employer,,,,1,,,,1,,,
tax_fncact_employers,employers,,,,1,,,,1,,,
tax_fncact_enforcers,enforcers,,,,,,,,,,,
tax_fncact_engineer,engineer,,,,,,,,,,,
tax_fncact_engineers,engineers,,,,,,,,,,,
tax_fncact_ensign,ensign,,,,,,,,,,,
tax_fncact_entertainer,entertainer,,,,,,,,,,,
tax_fncact_entertainers,entertainers,,,,,,,,,,,
tax_fncact_entrepreneur,entrepreneur,,,,,,,,,,,
tax_fncact_envoy,envoy,,,,,,,,,,,
tax_fncact_envoys,envoys,,,,,,,,,,,
tax_fncact_epidemiologist,epidemiologist,,,,,,,,,,,
tax_fncact_equestrian,equestrian,,,,,,,,,,,
tax_fncact_escort,escort,,,,,,,,,,,
tax_fncact_evangelist,evangelist,,,,,,,,,,,
tax_fncact_examiner,examiner,,,,,,,,,,,
tax_fncact_excavator,excavator,,,,,,,,,,,
tax_fncact_excavators,excavators,,,,,,,,,,,
tax_fncact_executioner,executioner,,,,,,,,,,,
tax_fncact_executive,executive,,,,1,,,,,,,
tax_fncact_executive_chef,executive chef,,,,,,,,,,,
tax_fncact_executive_director,executive director,,,,1,,,,,,,
tax_fncact_executive_officer,executive officer,,,,1,,,,,,,
tax_fncact_executive_officers,executive officers,,,,1,,,,,,,
tax_fncact_executive_secretary,executive secretary,,,,,,,,,,,
tax_fncact_executive_vice_president,president,,,,,,,,,,,
tax_fncact_executives,executives,,,,1,,,,,,,
tax_fncact_exiles,exiles,,,,,,,,,,,
tax_fncact_explorer,explorer,,,,,,,,,,,
tax_fncact_expresident,ex president,,,,,,,,,,,
tax_fncact_facilitator,facilitator,,,,,,,,,,,
tax_fncact_facilitators,facilitators,,,,,,,,,,,
tax_fncact_factory_workers,factory workers,,,,,,,,1,,,
tax_fncact_faculty,faculty,,,,,,,,,,,
tax_fncact_faculty_member,faculty member,,,,,,,,,,,
tax_fncact_farmer,farmer,,,,,,,,,,,
tax_fncact_farmers,farmers,,,,,,,,,,,
tax_fncact_father,father,,,,,,,,,,,
tax_fncact_fathers,fathers,,,,,,,,,,,
tax_fncact_federal_agents,federal agents,1,,,,,1,,,,,
tax_fncact_federal_official,federal official,1,,,,,1,,,,1,
tax_fncact_federal_officials,federal officials,1,,,,,1,,,,,
tax_fncact_felon,felon,,,,,,1,,,,,
tax_fncact_felons,felons,,,,,,,,,,,
tax_fncact_feminist,feminist,,,,,,,,,,,
tax_fncact_feminists,feminists,,,,,,,,,,,
tax_fncact_field_marshal,field marshal,,,,,,,,,,,
tax_fncact_filibuster,filibuster,,,,,,,,,,,
tax_fncact_film_director,film director,,,,,,,,,,,
tax_fncact_film_star,film star,,,,,,,,,,,
tax_fncact_finance_director,finance director,,,,,,,,,,,
tax_fncact_finance_minister,finance minister,,,,,,,,,,,
tax_fncact_finance_ministers,finance ministers,,,,,,,,,,,
tax_fncact_financial_adviser,financial adviser,,,,,,,,,,,
tax_fncact_financial_planner,financial planner,,,,,,,,,,,
tax_fncact_financier,financier,,,,,,,,,,,
tax_fncact_financiers,financiers,,,,,,,,,,,
tax_fncact_fire_chief,fire chief,,,,,,,,,,,
tax_fncact_fire_marshal,fire marshal,,,,,,,,,,,
tax_fncact_firefighers,fire fig hers,,,,,,,,,,,
tax_fncact_firefighter,firefighter,,,,,,,,,,,
tax_fncact_fireman,fireman,,,,,,,,,,,
tax_fncact_firemen,firemen,,,,,,,,,,,
tax_fncact_first_mate,first mate,,,,,,,,,,,
tax_fncact_fisherman,fisherman,,,,,,,,,,,
tax_fncact_fishermen,fishermen,,,,,,,,,,,
tax_fncact_flight_attendant,flight attendant,,,,,,,,,,,
tax_fncact_flight_attendants,flight attendants,,,,,,,,,,,
tax_fncact_floor_leader,floor leader,,,,,,,,,,,
tax_fncact_florist,florist,,,,,,,,,,,
tax_fncact_fool,fool,,,,,,,,,,,
tax_fncact_footballer,footballer,,,,,,,,,,,
tax_fncact_forecaster,forecaster,,,,,,,,,,,
tax_fncact_foreign_minister,foreign minister,,,,,,,,,,,
tax_fncact_foreign_ministers,foreign ministers,,,,,,,,,,,
tax_fncact_foreman,foreman,,,,,,,,,,,
tax_fncact_founder,founder,,,,,,,,,,,
tax_fncact_founders,founders,,,,,,,,,,,
tax_fncact_franchisee,franchisee,,,,,,,,,,,
tax_fncact_freelancer,freelancer,,,,,,,,,,,
tax_fncact_freelancers,freelancer s,,,,,,,,,,,
tax_fncact_functionaries,functionaries,,,,,,,,,,,
tax_fncact_fund_manager,fund manager,,,,,,,,,,,
tax_fncact_fund_managers,fund managers,,,,,,,,,,,
tax_fncact_gangster,gangster,,,,,,,,,,,
tax_fncact_gangsters,gangsters,,,,,,,,,,,
tax_fncact_gardener,gardener,,,,,,,,,,,
tax_fncact_gardeners,gardeners,,,,,,,,,,,
tax_fncact_general_manager,general manager,,,,,,,,,,,
tax_fncact_generals,generals,,,,,,,,,,,
tax_fncact_gentleman,gentleman,,,,,,,,,,,
tax_fncact_gentlemen,gentlemen,,,,,,,,,,,
tax_fncact_geologist,geologist,,,,,,,,,,,
tax_fncact_goldsmith,goldsmith,,,,,,,,,,,
tax_fncact_government_minister,government minister,,,,,,,,,,,
tax_fncact_government_ministers,government ministers,,,,,,,,,,,
tax_fncact_governor,governor,1,,,,,,,,,,
tax_fncact_governor_general,governor general,1,,,,,,,,,,
tax_fncact_governors,governors,1,,,,,,,,,,
tax_fncact_grader,grader,,,,,,,,,,,
tax_fncact_grand_duke,grand duke,,,,,,,,,,,
tax_fncact_graphic_designer,graphic designer,,,,,,,,,,,
tax_fncact_grocer,grocer,,,,,,,,,,,
tax_fncact_groom,groom,,,,,,,,,,,
tax_fncact_grooms,grooms,,,,,,,,,,,
tax_fncact_guard,guard,,,,,,,,,,,
tax_fncact_guide,guide,,,,,,,,,,,
tax_fncact_guitarist,guitarist,,,,,,,,,,,
tax_fncact_gunner,gunner,,,,,,,,,,,
tax_fncact_gunners,gunners,,,,,,,,,,,
tax_fncact_gynecologist,gynecologist,,,,,,,,,,,
tax_fncact_hacker,hacker,,,,,,,,,,,
tax_fncact_hackers,hackers,,,,,,,,,,,
tax_fncact_hairdresser,hairdresser,,,,,,,,,,,
tax_fncact_hairdressers,hairdressers,,,,,,,,,,,
tax_fncact_hawkers,hawkers,,,,,,,,,,,
tax_fncact_head_of_state,head state,,,,,,,,,,,
tax_fncact_headman,headman,,,,,,,,,,,
tax_fncact_headmaster,headmaster,,,,,,,,,,,
tax_fncact_headmen,headmen,,,,,,,,,,,
tax_fncact_helper,helper,,,,,,,,,,,
tax_fncact_helpers,helpers,,,,,,,,,,,
tax_fncact_herdsmen,herdsmen,,,,,,,,,,,
tax_fncact_hermit,hermit,,,,,,,,,,,
tax_fncact_hero,hero,,,,,,,,,,,
tax_fncact_high_commissioner,high commissioner,,,,,,,,,,,
tax_fncact_historian,historian,,,,,,,,,,,
tax_fncact_hit_man,hit man,,,,,,,,,,,
tax_fncact_hit_womens,hit women s,,,,,,,,,,,
tax_fncact_hostess,hostess,,,,,,,,,,,
tax_fncact_hoteliers,hoteliers,,,,,,,,,,,
tax_fncact_housekeeper,housekeeper,,,,,,,,,,,
tax_fncact_housewife,housewife,,,,,,,,,,,
tax_fncact_humanist,humanist,,,,,,,,,,,
tax_fncact_hunter,hunter,,,,,,,,,,,
tax_fncact_hunters,hunters,,,,,,,,,,,
tax_fncact_illustrator,illustrator,,,,,,,,,,,
tax_fncact_imam,imam,,,,,,,,,,,
tax_fncact_imams,imams,,,,,,,,,,,
tax_fncact_imaum,imaum,,,,,,,,,,,
tax_fncact_immigrant,immigrant,,,,,,,,,,,
tax_fncact_immigrants,immigrants,,,,,,,,,,,
tax_fncact_incumbent,incumbent,,,,,,,,,,,
tax_fncact_incumbents,incumbents,,,,,,,,,,,
